municipio_csv,ibge_json,nome_json,nome_atualizado,territorio
Nísia Floresta,2408201,Nísia Floresta,Nísia Floresta,Agreste Litoral Sul
Olho-d'Água do Borges,2408409,Olho-d'Água do Borges,Olho-d'Água do Borges,Sertão do Apodi
Ouro Branco,2408508,Ouro Branco,Ouro Branco,Seridó
Paraná,2408607,Paraná,Paraná,Alto Oeste
Parazinho,2408805,Parazinho,Parazinho,Mato Grande
Paraú,2408706,Paraú,Paraú,Sertão do Apodi
Parelhas,2408904,Parelhas,Parelhas,Seridó
Parnamirim,2403251,Parnamirim,Parnamirim,Terras Potiguaras
Passa e Fica,2409100,Passa e Fica,Passa e Fica,Trairi
Passagem,2409209,Passagem,Passagem,Agreste Litoral Sul
Patu,2409308,Patu,Patu,Sertão do Apodi
Pau dos Ferros,2409407,Pau dos Ferros,Pau dos Ferros,Alto Oeste
Pedra Grande,2409506,Pedra Grande,Pedra Grande,Mato Grande
Pedra Preta,2409605,Pedra Preta,Pedra Preta,Sertão Central Cabugi e Litoral Norte
Pedro Avelino,2409704,Pedro Avelino,Pedro Avelino,Sertão Central Cabugi e Litoral Norte
Pedro Velho,2409803,Pedro Velho,Pedro Velho,Agreste Litoral Sul
Pendências,2409902,Pendências,Pendências,Assu/Mossoró
Pilões,2410009,Pilões,Pilões,Alto Oeste
Portalegre,2410207,Portalegre,Portalegre,Alto Oeste
Porto do Mangue,2410256,Porto do Mangue,Porto do Mangue,Assu/Mossoró
Poço Branco,2410108,Poço Branco,Poço Branco,Mato Grande
Pureza,2410405,Pureza,Pureza,Mato Grande
Rafael Fernandes,2410504,Rafael Fernandes,Rafael Fernandes,Alto Oeste
Rafael Godeiro,2410603,Rafael Godeiro,Rafael Godeiro,Sertão do Apodi
Riacho da Cruz,2410702,Riacho da Cruz,Riacho da Cruz,Alto Oeste
Riacho de Santana,2410801,Riacho de Santana,Riacho de Santana,Alto Oeste
Riachuelo,2410900,Riachuelo,Riachuelo,Potengi
